"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
687,22643,15380,125,9080,-1710,0
688,22673,15500,58,9048,-2392,0
689,22703,15404,425,9756,-3253,0
690,22731,15112,567,10336,-4030,0
691,22761,15212,1092,11500,-4280,0
692,22791,15152,1207,11752,-4363,0
693,22820,15252,1206,11744,-4368,0
694,22850,15048,1031,12584,-4150,0
695,22880,17064,354,14184,-3115,1
696,22909,14128,673,13608,-2713,1
697,22938,15592,1311,13820,-1914,1
698,22968,15948,967,14880,-1492,1
699,22998,15616,222,14492,-1076,1
700,23027,15196,1173,14124,-579,1
701,23061,15664,837,13208,-395,1
702,23091,15164,844,13400,-351,1
703,23120,14892,1097,13816,-167,1
704,23149,15008,1346,14244,-307,1
705,23179,14964,977,15300,21,1
706,23208,15508,855,15612,-173,1
707,23237,15376,317,15208,-233,1
708,23267,15096,810,15564,-263,1
709,23297,15432,531,15620,-312,1
710,23326,15168,417,15816,-523,1
711,23355,15292,582,15124,-515,1
712,23385,15352,367,15872,-526,1
713,23414,15452,420,15592,-467,1
714,23444,15212,445,15300,-556,1
715,23474,15232,244,15536,-540,1
716,23508,15516,469,16288,-461,1
717,23538,15548,64,15292,-708,1
718,23568,15232,357,16016,-785,1
719,23597,15588,222,16128,-687,1
720,23626,15268,239,16384,-511,1
721,23656,15172,207,14696,-465,1
722,23686,15304,53,15636,-459,1
723,23714,15504,143,15388,-307,1
724,23744,15136,72,15344,-432,1
725,23774,14948,7,16052,-249,1
726,23803,15564,69,15776,-169,1
727,23832,15300,-280,16148,-250,1
728,23862,15180,-45,14964,-194,1
729,23891,14904,-91,15776,-131,1
730,23921,15132,-115,15392,-100,1
731,23955,15520,-129,15752,-165,1
732,23985,15636,-247,16140,-54,1
733,24013,15480,-32,16184,-262,1
734,24043,15320,-225,15272,-179,1
735,24073,15040,-50,15616,-272,1
736,24102,15540,-174,16448,-193,1
737,24132,15176,-168,15760,-291,1
738,24161,15144,-139,15700,-201,1
739,24190,15196,7,15648,-96,1
740,24219,15388,-57,15296,-100,1
741,24249,15136,-105,15460,-85,1
742,24279,15340,21,15848,-9,1
743,24308,15224,-108,15744,-10,1
744,24337,15384,66,15352,-62,1
745,24367,15304,-39,15812,-1,1
746,24401,15412,-19,16368,-13,1
747,24431,15284,21,15424,-8,1
748,24460,15240,-55,15612,69,1
749,24489,15304,-96,15760,11,1
750,24519,15472,-82,15400,12,1
751,24549,15124,-24,16148,-31,1
752,24578,15296,44,15680,19,1
753,24607,15176,-43,15468,-21,1
754,24636,15448,-76,15432,-30,1
755,24666,15308,27,16168,-75,1
756,24695,15404,155,15480,-4,1
757,24725,15168,-49,15536,-64,1
758,24754,15300,15,15592,112,1
